language,lect,s_citation,m_citation,s_gloss,m_gloss,class,source,contributor,glottocode
Andi,Gagatli,джебу,,сливочное масло и творог,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,илло,,еда,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ингура,,сырник,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къанц1и,,уксус,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къиннил,,галушка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лел,,сливки,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лел,,сметана,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,панкъир,,лепешка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мед,,брага,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,рикъи,,мясо,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,хайгун,,яичница,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чагъир,,вино,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чай,,чай,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,чакар,,сахар,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ч1аъа,,брага,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,аждар,,чайное растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,анга,,ветка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,атирта,,съедобное растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,беббу,,пузырчатая трава,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бесирк1орло,,свинорой,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,беху,,береза,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,беча,,гречиха,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,беч1ухалл1и,,къгурчи персик,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,бурч1инна,,ячмень,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъабахъи,,тыква,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъорц1ц1и,,съедобное растение с ягодами на колючках,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъвамерма,,съедобное растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъургъи,,карагач,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъангъила,,трава жарких стран,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъамму,,черемша,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъингъи,,груша,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъинкъим,,корень,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъинкъгве,,лопух,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъинц1ц1ир,,ива,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,гъинц1ц1ир,,верба,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,жади,,колос,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,жими,,кизил,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,инчи,,яблоко,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,кацуста,,капуста,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,картуши,,картофель,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,коком,,слива,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,кол,,сноп,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,коллерщи,,куст,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къвайил,,съедобное растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къир,,пшеница,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къули,,коли,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къур,,сухая трава,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къгасда,,коносообразная куча снопов,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къгинорца,,ряд снопов,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къгурчи,,курага,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къет1ур,,дерево,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,къуна,,часть колоca,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,к1ок1ом,,отходы сена,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,к1онча,,лук,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,к1ордо,,трава,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лиму,,съедобное растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лъан,,вид травы,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лъахиб,,лист,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лълъенц1ц1ур,,вид травы,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лъор,,граб,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лъор,,осина,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,лълъенибосси,,белолистка,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,макъер,,ольха,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мамадур,,морковь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мигъи,,поле,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мерччи,,вяз,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,микъгор,,укроп,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,микъурл1а,,съедобное трубчатое растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мич1ч1и,,крапива,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мугъу,,зерно,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,мук1уци,,съедобное растение,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ниха,,овес,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,ноджи,,дуб,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,огоб,,рожь,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,паст1ан,,дыня,,4,Salimov 2010,Ksenia Romanova,andi1255
Andi,Gagatli,пилпил,,перец,,4,Salimov 2010,Ksenia Romanova,andi1255
